log_id,employee_id,clock_in,clock_out,department,pay_rate,log_date
LOG0001372,EMP00530,2024-04-23 06:39:18,2024-04-23 17:56:11,Bus,38.45,2024-04-23
LOG0002365,EMP00585,2024-05-06 14:59:24,,Engineering,46.85,2024-05-06
LOG0005058,EMP00881,2024-04-05 10:01:21,2024-04-05 14:28:59,Finance,48.61,2024-04-05
LOG0003692,EMP00579,2024-10-26 07:04:55,2024-10-26 12:27:45,IT,79.72,2024-10-26
LOG0002101,EMP00471,2024-01-21 06:15:19,,Procurement,58.12,2024-01-21
LOG0004599,EMP00950,2024-03-05 09:06:40,2024-03-05 22:10:29,IT,69.65,2024-03-05
LOG0000706,EMP00049,2024-02-07 14:44:43,2024-02-08 02:14:33,Bus,76.65,2024-02-07
LOG0003208,EMP00139,2024-10-06 22:25:43,,HR,19.34,2024-10-06
LOG0003215,EMP00662,2024-10-27 08:10:01,2024-10-27 14:13:45,Finance,29.6,2024-10-27
LOG0000235,EMP00868,2024-04-18 14:11:30,2024-04-18 19:34:56,Maintenance,68.99,2024-04-18
LOG0001610,EMP00266,2024-09-07 06:11:34,2024-09-07 13:27:59,Infrastructure,76.06,2024-09-07
LOG0001729,EMP00934,2024-09-08 06:22:44,2024-09-08 11:11:06,Scheduling,75.12,2024-09-08
LOG0004979,EMP00934,2024-03-03 14:47:56,2024-03-03 19:37:05,Scheduling,75.12,2024-03-03
LOG0003263,EMP00707,2024-01-07 08:07:15,2024-01-07 14:40:08,Finance,43.97,2024-01-07
LOG0002869,EMP00083,2024-07-08 08:09:35,2024-07-08 20:46:26,Bus,72.8,2024-07-08
LOG0001605,EMP00079,2024-03-20 07:38:15,2024-03-20 17:51:18,Customer Service,68.34,2024-03-20
LOG0001317,EMP00897,2024-06-10 09:14:53,2024-06-10 15:07:49,Bus,59.77,2024-06-10
LOG0002301,EMP00260,2024-08-13 08:53:27,2024-08-13 21:47:13,Scheduling,82.61,2024-08-13
